City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Cabinda,AO,-5.55,12.2,77.14,94,75,0.0,broken clouds
227,Goba,ET,7.0167,39.9833,60.57,56,53,5.39,broken clouds
228,Saint-Pierre,RE,-21.3393,55.4781,78.48,53,0,24.16,clear sky
229,Iquique,CL,-20.2208,-70.1431,60.84,72,16,2.19,few clouds
230,Hammerfest,NO,70.6634,23.6821,36.05,80,75,3.44,broken clouds
231,Labytnangi,RU,66.6572,66.4183,36.43,73,100,10.58,overcast clouds
232,Lubango,AO,-14.9172,13.4925,72.64,33,8,6.29,clear sky
233,Constitucion,CL,-35.3333,-72.4167,51.12,90,0,5.88,clear sky
234,Port Hardy,CA,50.6996,-127.4199,57.38,100,100,6.91,light rain
235,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,4.61,clear sky
236,Paso De Los Toros,UY,-32.8167,-56.5167,59.99,96,100,8.1,overcast clouds
237,Perth,AU,-31.9333,115.8333,75.38,58,75,16.11,broken clouds
238,Nagato,JP,34.3833,131.2,65.61,60,0,7.2,clear sky
239,Margate,GB,51.3813,1.3862,61.9,94,100,4.0,light rain
240,Faanui,PF,-16.4833,-151.75,78.31,77,0,5.93,clear sky
241,Rocha,UY,-34.4833,-54.3333,59.27,97,100,7.05,overcast clouds
242,Shumskiy,RU,54.8318,99.1328,43.02,53,97,1.79,light rain
243,Luderitz,NA,-26.6481,15.1594,68.13,60,99,20.56,overcast clouds
244,Polunochnoye,RU,60.8697,60.4153,37.0,67,82,8.97,broken clouds
245,Aklavik,CA,68.2191,-135.0107,25.39,96,100,4.61,snow
246,Mogadishu,SO,2.0371,45.3438,82.27,83,75,11.5,broken clouds
247,Mvuma,ZW,-19.2792,30.5283,76.77,27,0,8.72,clear sky
248,Yelizovo,RU,53.1873,158.3805,39.34,48,75,13.42,broken clouds
249,Lorengau,PG,-2.0226,147.2712,84.65,69,16,8.86,few clouds
250,Flinders,AU,-34.5833,150.8552,68.38,90,100,3.91,light rain
251,Horqueta,PY,-23.3428,-57.0597,68.61,99,17,3.36,few clouds
252,Thap Than,TH,15.4606,99.8917,83.08,63,73,5.75,broken clouds
253,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,82,100,8.95,overcast clouds
254,Yar-Sale,RU,66.8333,70.8333,36.05,86,100,18.12,overcast clouds
255,Saint Anthony,US,45.0205,-93.218,38.8,47,0,3.44,clear sky
256,Dzhebariki-Khaya,RU,62.2167,135.8,20.8,97,100,1.34,light snow
257,Cherskiy,RU,68.75,161.3,19.02,97,100,1.14,overcast clouds
258,Guerrero Negro,MX,27.9769,-114.0611,72.16,76,13,1.34,few clouds
259,Ancud,CL,-41.8697,-73.8203,50.23,93,100,11.21,light rain
